id,type,name,address,postcode,lat,lng,district_code,region,nation,meta,active
nursery-01KWZ2R77TD8PSJ9703XE0QV7E,nursery,Tamar Valley Child Care Centre,"378a St Leonards Rd, St Leonards",7250,-41.4634344,147.2023435,lgaf11c4f3e9ae0,tas,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40029028"", ""provider_id"": ""PR-00005896"", ""service_type"": [""Centre-Based Care"", ""LONGDC"", ""OOSHAfter"", ""OOSHBefore"", ""OOSHVacation""], ""rating"": ""MEET""}",true
nursery-01KWWFCARHQP27YFSJ7S1FTYM3,nursery,Green Leaves Early Learning Glebe Hill,"21 Commerce Drive, Howrah",7180,-42.8877964,147.4241922,lgaae8336fce317,tas,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-00018379"", ""provider_id"": ""PR-00011135"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""PROV""}",true
nursery-01KV6D777WGRKG35KKM6AM16J0,nursery,Discovery Early Learning Centres- Legana,"630 West Tamar Hwy, Legana",7277,-41.3655512,147.0444679,lgafe5600ae3561,tas,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-00017771MQA5ADAAMAA5ADcAOAA4ADEAUwA="", ""provider_id"": ""PR-00005928"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""PROV""}",true
nursery-01KSJXSC465PKAWJHGQ5QFYHGY,nursery,New Horizons Preschool Battery Point,"5 Battery Sq, Battery Point",7004,-42.8885666,147.3365242,lgacbffb11990f2,tas,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-40008863MQA5ADAAMAA5ADcANgA1ADAASgA="", ""provider_id"": ""PR-00011853"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""EXCD""}",true
nursery-01KSGAZ6BQNSFEYX1F88FWN9QS,nursery,Coastal Connections Yolla,"1 School Lane, Yolla",7325,-41.1246423,145.7193968,lga2319b5472a93,tas,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-00018665MQA5ADAAMAA5ADcANAA3ADIAVAA="", ""provider_id"": ""PR-00005909"", ""service_type"": [""Centre-Based Care"", ""LONGDC"", ""OOSHAfter"", ""OOSHVacation""], ""rating"": ""PROV""}",true
nursery-01KR1ZPBFHH5N75W6XJNPQWC0K,nursery,Cambridge Road Play and Learn Centre,"157 Cambridge Rd, Warrane",7018,-42.8639135,147.3773232,lgaae8336fce317,tas,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-00009880MQA5ADAAMAA5ADQAOQA5ADgAUwA="", ""provider_id"": ""PR-40025206"", ""service_type"": [""Centre-Based Care"", ""LONGDC""], ""rating"": ""MEET""}",true
nursery-01KQT8HKQ2TPRWMWBED5T4TZSV,nursery,Snug Outside School Hours Care,"Snug Primary School, 2208 Channel Hwy, Snug",7054,-43.0656471,147.2542572,lgadc18daa4e36a,tas,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-00018631MQA5ADAAMAA5ADQANwA5ADgAQgA="", ""provider_id"": ""PR-00005896"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter"", ""OOSHBefore"", ""OOSHVacation""], ""rating"": ""PROV""}",true
nursery-01KN7RJ4XGC2X3HSEEJNR18S5F,nursery,Glenorchy Uniting Outside School Hours Care,"Glenorchy Primary School, Kensington Street, Glenorchy",7010,-42.8307987,147.2679817,lgaed3a2c35aa46,tas,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-00014070MQA5ADAAMAA5ADQAMgAyADMAQwA="", ""provider_id"": ""PR-40011040"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter"", ""OOSHVacation""], ""rating"": ""MEET""}",true
nursery-01KM3QE7GMEPJXY5AJGGGV856D,nursery,Springfield Gardens PS TheirCare,"Springfield Gardens Primary School, 62 Ashbourne Gr, West Moonah",7009,-42.847174,147.2747493,lgaed3a2c35aa46,tas,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-00018614MQA5ADAAMAA5ADMAOAA4ADQAWAA="", ""provider_id"": ""PR-40011145"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter"", ""OOSHBefore"", ""OOSHVacation""], ""rating"": ""PROV""}",true
nursery-01KHY6B9B51WP1RS99E73Y5J0N,nursery,West Ulverstone Uniting Outside School Hours Care,"West Ulverstone Primary School, 34 Maud St, West Ulverstone",7315,-41.1483001,146.1584472,lgab848eee26cd6,tas,australia,"{""source"": ""ACECQA/StartingBlocks"", ""service_id"": ""SE-00018471MQA5ADAAMAA5ADMAMQAzADIAQwA="", ""provider_id"": ""PR-40011040"", ""service_type"": [""Centre-Based Care"", ""OOSHAfter"", ""OOSHBefore"", ""OOSHVacation""], ""rating"": ""PROV""}",true
