id,type,name,address,postcode,lat,lng,district_code,region,nation,meta,active
school-40000,school,Corpus Christi Catholic School,"Bellerive, TAS, 7018",7018,-42.871256,147.371473,lgaae8336fce317,tas,australia,"{""sector"": ""Catholic"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Clarence""}",True
school-40001,school,Fahan School,"Sandy Bay, TAS, 7005",7005,-42.91615827,147.35276438,lgacbffb11990f2,tas,australia,"{""sector"": ""Independent"", ""school_type"": ""Combined"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Hobart""}",True
school-40002,school,Geneva Christian College,"Latrobe, TAS, 7307",7307,-41.226741,146.438726,lgac20858fe9fc3,tas,australia,"{""sector"": ""Independent"", ""school_type"": ""Combined"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Outer Regional"", ""lga_name"": ""Latrobe (Tas.)""}",True
school-40003,school,Holy Rosary Catholic School,"Claremont, TAS, 7011",7011,-42.789375,147.248306,lgaed3a2c35aa46,tas,australia,"{""sector"": ""Catholic"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Glenorchy""}",True
school-40004,school,Immaculate Heart of Mary Catholic School,"Lenah Valley, TAS, 7008",7008,-42.865543,147.290159,lgacbffb11990f2,tas,australia,"{""sector"": ""Catholic"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Hobart""}",True
school-40005,school,John Calvin School,"Launceston, TAS, 7250",7250,-41.447919,147.144799,lgaf11c4f3e9ae0,tas,australia,"{""sector"": ""Independent"", ""school_type"": ""Combined"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Launceston""}",True
school-40006,school,Larmenier Catholic School,"St Leonards, TAS, 7250",7250,-41.460784,147.194752,lgaf11c4f3e9ae0,tas,australia,"{""sector"": ""Catholic"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Launceston""}",True
school-40007,school,Launceston Church Grammar School,"Mowbray, TAS, 7248",7248,-41.408156,147.128813,lgaf11c4f3e9ae0,tas,australia,"{""sector"": ""Independent"", ""school_type"": ""Secondary"", ""campus_type"": ""School Head Campus"", ""special_school"": ""0"", ""remoteness"": ""Inner Regional"", ""lga_name"": ""Launceston""}",True
school-40008,school,St James Catholic College,"Cygnet, TAS, 7112",7112,-43.161812,147.075798,lgab1d61c9cb781,tas,australia,"{""sector"": ""Catholic"", ""school_type"": ""Combined"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Outer Regional"", ""lga_name"": ""Huon Valley""}",True
school-40009,school,Our Lady of Lourdes Catholic School,"Devonport, TAS, 7310",7310,-41.18021,146.355196,lga3ec5fd5ac40a,tas,australia,"{""sector"": ""Catholic"", ""school_type"": ""Primary"", ""campus_type"": ""School Single Entity"", ""special_school"": ""0"", ""remoteness"": ""Outer Regional"", ""lga_name"": ""Devonport""}",True
