id,district_code
school-40000,lgaae8336fce317
school-40001,lgacbffb11990f2
school-40002,lgac20858fe9fc3
school-40003,lgaed3a2c35aa46
school-40004,lgacbffb11990f2
school-40005,lgaf11c4f3e9ae0
school-40006,lgaf11c4f3e9ae0
school-40007,lgaf11c4f3e9ae0
school-40008,lgab1d61c9cb781
school-40009,lga3ec5fd5ac40a
school-40010,lgacc8be94156f0
school-40011,lgab848eee26cd6
school-40012,lgab1d61c9cb781
school-40013,lgadc18daa4e36a
school-40014,lgafe5600ae3561
school-40015,lga501d6d4da5d2
school-40016,lga5c99cd452105
school-40017,lga2319b5472a93
school-40018,lgaae8336fce317
school-40019,lgaae8336fce317
school-40020,lgaa522f0db671c
school-40021,lgaa522f0db671c
school-40022,lgacbffb11990f2
school-40023,lgac20858fe9fc3
school-40024,lgaed3a2c35aa46
school-40025,lgaed3a2c35aa46
school-40026,lga25332b122f1e
school-40027,lgaa33bbd294e17
school-40028,lgacbffb11990f2
school-40029,lgacbffb11990f2
school-40030,lgaae8336fce317
school-40031,lgafe5600ae3561
school-40032,lgab848eee26cd6
school-40033,lgab848eee26cd6
school-40035,lgacbffb11990f2
school-40036,lgaf11c4f3e9ae0
school-40037,lgaae8336fce317
school-40038,lgaf11c4f3e9ae0
school-40039,lgaae8336fce317
school-40041,lgaf11c4f3e9ae0
school-40042,lga834b76840988
school-40043,lga501d6d4da5d2
school-40044,lgadc18daa4e36a
school-40045,lgaf11c4f3e9ae0
school-40046,lgaabfc45eea6db
school-40047,lgaf11c4f3e9ae0
school-40048,lgaf11c4f3e9ae0
school-40049,lga7acebfae7d77
school-40050,lgaa33bbd294e17
school-40051,lga3ec5fd5ac40a
school-40052,lgab848eee26cd6
school-40053,lga2319b5472a93
school-40054,lgaed3a2c35aa46
school-40056,lgab1d61c9cb781
school-40057,lgab1d61c9cb781
school-40058,lgab1d61c9cb781
school-40059,lgaae8336fce317
school-40060,lga2e540f3e64d2
school-40061,lgacc8be94156f0
school-40062,lga5c99cd452105
school-40063,lga5c99cd452105
school-40064,lgaaa6eb4f52653
school-40065,lga2e540f3e64d2
school-40066,lgaa522f0db671c
school-40067,lga5f9b3011df30
school-40068,lga5f9b3011df30
school-40069,lgac7699d4a3a85
school-40070,lgaa33bbd294e17
school-40071,lgabc6e4e7e1d00
school-40072,lgabc6e4e7e1d00
school-40073,lga20efe678919a
school-40074,lgafe5600ae3561
